


110,,Forza Horizon,,Microsoft Studios,Playground Games,N/A,N/A,N/A,N/A,1.94m,0.94m,0.04m,0.16m,23rd Oct 12,16th Jan 18
111,,Jet Moto 2,,Sony Computer Entertainment,SingleTrac,N/A,N/A,N/A,N/A,1.94m,0.42m,0.03m,0.07m,31st Oct 97,N/A
112,,MX Unleashed,,THQ,Rainbow Studios,N/A,N/A,N/A,N/A,1.92m,0.73m,N/A,0.25m,17th Feb 04,N/A
113,,Need for Speed: Shift    Read the review,,Electronic Arts,Slightly Mad Studios,8.6,8.2,N/A,N/A,1.91m,0.96m,0.01m,0.22m,15th Sep 09,N/A
114,,Gran Turismo Concept 2001 Tokyo,,Unknown,Polyphony Digital,N/A,N/A,N/A,N/A,1.84m,1.10m,0.42m,0.33m,N/A,N/A
115,,Forza Horizon 4,,Microsoft Studios,Playground Games,N/A,9.2,N/A,N/A,1.84m,0.95m,0.01m,0.15m,02nd Oct 18,01st Oct 18
116,,Jet Moto,,Sony Computer Entertainment,SingleTrac,N/A,N/A,N/A,N/A,1.83m,0.40m,0.03m,0.07m,31st Oct 96,N/A
117,,Crazy Taxi,,Sega,Hitmaker,N/A,9.3,N/A,N/A,1.81m,0.51m,0.12m,0.08m,24th Jan 00,N/A
118,,Test Drive Unlimited 2,,Atari,Eden Games,N/A,N/A,N/A,1.80m,N/A,N/A,N/A,N/A,08th Feb 11,23rd Apr 21
119,,The Crew,,Ubisoft,Ubisoft Reflections,N/A,N/A,N/A,N/A,1.79m,1.04m,0.03m,0.27m,02nd Dec 14,04th Jan 18
120,,Midnight Club II,,Rockstar Games,Rockstar San Diego,N/A,N/A,N/A,N/A,1.78m,0.29m,N/A,0.24m,09th Apr 03,N/A
121,,Cruis'n USA,,Nintendo,Midway Games,N/A,N/A,N/A,1.72m,N/A,N/A,N/A,N/A,03rd Dec 96,N/A
122,,Need for Speed Underground,,Electronic Arts,EA Black Box,N/A,N/A,N/A,N/A,1.71m,0.55m,N/A,0.07m,17th Nov 03,N/A
123,,Formula 1 (1996),,Psygnosis,Bizarre Creations,N/A,N/A,N/A,1.70m,N/A,N/A,N/A,N/A,30th Sep 96,17th Jul 21
124,,Need for Speed: Undercover    Read the review,,Electronic Arts,EA Vancouver,6.0,6.3,N/A,N/A,1.69m,0.70m,0.01m,0.18m,17th Nov 08,N/A
125,,PGR: Project Gotham Racing 2,,Microsoft Game Studios,Bizarre Creations,N/A,8.9,N/A,N/A,1.67m,0.59m,0.04m,0.07m,17th Nov 03,N/A
126,,Spy Hunter,,Midway Games,Paradigm Entertainment,N/A,N/A,N/A,N/A,1.67m,0.32m,N/A,0.22m,24th Sep 01,N/A
127,,Need for Speed Carbon,,Electronic Arts,EA Black Box,N/A,7.9,N/A,N/A,1.65m,0.69m,0.02m,0.18m,31st Oct 06,N/A
128,,Sled Storm,,Electronic Arts,EA Canada,N/A,N/A,N/A,N/A,1.62m,0.61m,N/A,0.11m,10th Aug 99,N/A
129,,Midnight Club 3: DUB Edition (America/Others Sales),,Rockstar Games,Rockstar San Diego,N/A,N/A,N/A,N/A,1.60m,0.23m,N/A,0.07m,11th Apr 05,N/A
130,,F-1 World Grand Prix,,Video System,Paradigm Entertainment,N/A,N/A,N/A,1.60m,N/A,N/A,N/A,N/A,31st Jul 98,N/A
131,,Diddy Kong Racing DS,,Nintendo,Rare Ltd.,N/A,5.1,N/A,1.59m,N/A,N/A,N/A,N/A,05th Feb 07,N/A
132,,NASCAR 2000,,EA Sports,Stormfront Studios,N/A,N/A,N/A,N/A,1.59m,0.60m,N/A,0.10m,30th Sep 99,N/A
133,,Mario Kart Live: Home Circuit,,Nintendo,Velan Studios,N/A,N/A,N/A,1.58m,N/A,N/A,N/A,N/A,16th Oct 20,03rd Sep 20
134,,Smuggler's Run,,Rockstar Games,Rockstar San Diego,N/A,N/A,N/A,N/A,1.56m,0.60m,N/A,0.20m,25th Oct 00,N/A
135,,Stuntman,,Atari,Reflections Interactive,N/A,N/A,N/A,N/A,1.55m,0.59m,N/A,0.20m,23rd Jun 02,N/A
136,,Need for Speed: Most Wanted (2012),,Electronic Arts,Criterion Games,N/A,N/A,N/A,N/A,1.54m,0.79m,0.01m,0.12m,30th Oct 12,19th Dec 18
137,,NASCAR 98,,EA Sports,Stormfront Studios,N/A,N/A,N/A,N/A,1.52m,0.05m,N/A,0.04m,01st Jan 97,N/A
138,,F1 Race,,Nintendo,Nintendo,N/A,N/A,N/A,1.52m,N/A,N/A,N/A,N/A,02nd Nov 84,N/A
139,,NASCAR 99,,EA Sports,Stormfront Studios,N/A,N/A,N/A,N/A,1.52m,0.04m,N/A,0.04m,30th Sep 98,N/A
140,,Forza Motorsport 7    Read the review,,Microsoft Studios,Turn 10 Studios,N/A,8.9,N/A,N/A,1.52m,0.81m,0.01m,0.12m,03rd Oct 17,12th Jan 18
141,,Sonic Rivals 2,,Sega,Backbone Entertainment,N/A,6.4,N/A,N/A,1.52m,0.70m,N/A,0.37m,13th Nov 07,N/A
142,,Tokyo Xtreme Racer Zero,,Crave Entertainment,Genki,N/A,N/A,N/A,N/A,1.50m,0.52m,0.15m,0.17m,28th May 01,N/A
143,,Forza Horizon 2,,Microsoft Studios,Playground Games,N/A,N/A,N/A,N/A,1.46m,0.79m,0.01m,0.11m,30th Sep 14,24th Mar 18
144,,Sonic & SEGA All-Stars Racing    Read the review,,Sega,Sumo Digital,8.0,7.9,N/A,N/A,1.45m,0.69m,N/A,0.15m,23rd Feb 10,N/A
145,,Sonic Rivals,,Sega,Backbone Entertainment,N/A,7.0,N/A,N/A,1.44m,0.43m,N/A,0.28m,16th Nov 06,N/A
146,,Kinect Joy Ride,,Microsoft Game Studios,Big Park,N/A,5.6,N/A,N/A,1.43m,0.39m,0.00m,0.12m,04th Nov 10,N/A
147,,Twisted Metal: Black,,Sony Computer Entertainment,Incognito Inc.,N/A,8.9,N/A,N/A,1.41m,0.17m,N/A,0.05m,18th Jun 01,N/A
148,,NASCAR 2005: Chase for the Cup,,EA Sports,EA Tiburon,N/A,N/A,N/A,N/A,1.41m,0.54m,N/A,0.18m,31st Aug 04,N/A
149,,Need for Speed: Undercover,,Electronic Arts,EA Vancouver,N/A,N/A,N/A,N/A,1.40m,0.08m,0.03m,0.93m,17th Nov 08,N/A
150,,Gran Turismo 4 Prologue,,Sony Computer Entertainment,Polyphony Digital,N/A,N/A,N/A,1.40m,N/A,N/A,N/A,N/A,18th May 04,N/A
151,,Colin McRae Rally 3,,Codemasters,Codemasters,N/A,N/A,N/A,N/A,1.40m,1.05m,0.02m,0.30m,22nd Apr 03,N/A
152,,Ridge Racer 7,,Namco Bandai,Namco Bandai,N/A,N/A,N/A,N/A,1.37m,0.70m,0.16m,0.26m,13th Nov 06,N/A
153,,Need for Speed: The Run    Read the review,,Electronic Arts,EA Black Box,6.8,5.5,N/A,N/A,1.37m,0.57m,0.00m,0.16m,15th Nov 11,N/A
154,,Sonic & All-Stars Racing Transformed,,Sega,Sumo Digital,N/A,N/A,N/A,1.36m,N/A,N/A,N/A,N/A,18th Nov 12,13th Nov 20
155,,Burnout Paradise,,Electronic Arts,Criterion,N/A,8.9,N/A,N/A,1.35m,0.57m,0.01m,0.14m,22nd Jan 08,N/A
156,,Kirby Air Ride,,Nintendo,HAL Laboratory,N/A,6.4,N/A,1.35m,N/A,N/A,N/A,N/A,13th Oct 03,N/A
157,,The Simpsons: Hit & Run,,VU Games,Radical Entertainment,N/A,N/A,N/A,N/A,1.35m,0.58m,N/A,0.07m,16th Sep 03,N/A
158,,Test Drive,,Atari,Pitbull Syndicate,N/A,N/A,N/A,N/A,1.34m,0.21m,0.01m,0.18m,27th May 02,N/A
159,,F1 2010,,Codemasters,Codemasters Birmingham,N/A,8.0,N/A,N/A,1.34m,0.75m,0.08m,0.26m,21st Sep 10,N/A
160,,Need for Speed Carbon,,Electronic Arts,EA Black Box,N/A,7.7,N/A,N/A,1.34m,0.05m,0.05m,0.01m,31st Oct 06,N/A
161,,Corvette,,Global Star Software,Steel Monkeys,N/A,N/A,N/A,N/A,1.33m,0.51m,N/A,0.17m,09th Mar 04,N/A
162,,Need for Speed Underground Rivals,,Electronic Arts,Team Fusion,N/A,7.6,N/A,N/A,1.32m,0.38m,0.02m,0.24m,14th Mar 05,N/A
163,,TOCA 2 Touring Car Championship,,Codemasters,Codemasters,N/A,N/A,N/A,N/A,1.32m,1.16m,0.02m,0.11m,31st Oct 99,N/A
164,,TNN Motor Sports Hardcore 4x4,,ASC Games,Gremlin Interactive,N/A,N/A,N/A,N/A,1.31m,0.50m,N/A,0.09m,30th Nov 96,N/A
165,,IHRA Drag Racing 2,,Bethesda Softworks,Bethesda Softworks,N/A,N/A,N/A,N/A,1.31m,0.50m,N/A,0.17m,09th Dec 02,N/A
166,,Burnout 3: Takedown,,Electronic Arts,Criterion Games,N/A,9.3,N/A,N/A,1.31m,0.43m,N/A,0.04m,07th Sep 04,N/A
167,,Test Drive 5,,Accolade,Pitbull Syndicate,N/A,N/A,N/A,N/A,1.30m,0.20m,N/A,0.05m,30th Sep 98,N/A
168,,Midnight Club 3: DUB Edition (America weekly sales),,Rockstar Games,Rockstar San Diego,N/A,N/A,N/A,N/A,1.29m,0.05m,N/A,0.01m,11th Apr 05,N/A
