


154,,Custom Drive,,D3Publisher,Vridge Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,30th Aug 12,18th May 19
155,,Ore wa Shoujo Mangaka,,Giza10,Giza10,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,23rd Feb 12,18th May 19
156,,Hyakka Yakou,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,12th Feb 15,21st May 19
157,,White Album 2: Shiawase no Mukougawa,,Aqua Plus,Aqua Plus,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Nov 13,25th May 19
158,,Storm Lover 2nd,,D3Publisher,Vridge Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,20th Jun 13,25th May 19
159,,Arcana Famiglia 2,,Comfort,HuneX,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,14th Nov 13,25th May 19
160,,Gaku * Ou: The Royal Seven Stars + Meteor,,Alchemist,Lump of Sugar,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Mar 13,25th May 19
161,,Storm Lover Kai!!,,D3Publisher,Vridge Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,07th Jun 12,25th May 19
162,,Tiger & Bunny: Hero's Day,,D3Publisher,D3Publisher,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,20th Mar 13,25th May 19
163,,"Sharin no Kuni, Himawari no Shoujo",,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Oct 10,19th Dec 18
164,,Pioneer no Banshou,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,30th Aug 18,26th Sep 18
165,,Harukanaru Toki no Naka de Ultimate,,Koei Tecmo,Koei Tecmo Games,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,22nd Feb 18,07th Mar 18
166,,Ikemen Sengoku: Toki o Kakeru Koi - Aratanaru Deai,,Idea Factory,CYBIRD,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,22nd Mar 18,06th Apr 18
167,,La Corda d'Oro 3,,Koei Tecmo,Ruby Party,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,20th Sep 18,15th Oct 18
