


65,,Sonic Heroes,,Sega,Sonic Team,N/A,N/A,N/A,4.58m,N/A,N/A,N/A,N/A,06th Jan 04,14th Nov 20
66,,Ghosts 'n Goblins,,Capcom,Capcom,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,19th Sep 85,03rd Feb 20
67,,LittleBigPlanet    Read the review,,Sony Computer Entertainment,Media Molecule,9.2,9.4,9.2,4.50m,N/A,N/A,N/A,N/A,28th Oct 08,N/A
68,,Super Paper Mario,,Nintendo,Intelligent Systems,N/A,8.5,N/A,4.23m,N/A,N/A,N/A,N/A,09th Apr 07,N/A
69,,Teenage Mutant Ninja Turtles,,Ultra Games,Konami,N/A,5.9,N/A,N/A,4.17m,0.44m,0.31m,0.04m,01st Jun 89,N/A
70,,Donkey Kong Country: Tropical Freeze    Read the review,,Nintendo,Retro Studios,7.0,9.1,9.1,4.12m,N/A,N/A,N/A,N/A,04th May 18,02nd Aug 20
71,,Super Mario World 2: Yoshi's Island,,Nintendo,Nintendo EAD,N/A,9.0,N/A,4.12m,N/A,N/A,N/A,N/A,04th Oct 95,N/A
72,,Crash Bandicoot 2: Cortex Strikes Back,,Sony Computer Entertainment,Naughty Dog,N/A,8.6,N/A,4.09m,N/A,N/A,N/A,N/A,31st Oct 97,N/A
73,,Super Mario Maker,,Nintendo,Nintendo EAD,N/A,8.8,N/A,4.02m,N/A,N/A,N/A,N/A,11th Sep 15,29th Mar 18
74,,Disney's Aladdin,,Sega,Virgin Interactive,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,11th Nov 93,N/A
75,,Little Nightmares,,Bandai Namco Entertainment,Tarsier Studios,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,28th Apr 17,15th Mar 20
76,,Pitfall!,,Activision,Activision,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,20th Apr 82,N/A
77,,Ratatouille,,THQ,Heavy Iron Studios,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,26th Jun 07,01st Mar 21
78,,Sonic Colors,,Sega,Sonic Team/Dimps Corporation,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,16th Nov 10,14th Nov 20
79,,Teenage Mutant Ninja Turtles,,Ultra Games,Konami,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,25th Jun 89,23rd Apr 22
80,,The Simpsons Game,,Electronic Arts,EA Redwood Shores,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,30th Oct 07,17th Apr 21
81,,Kirby Star Allies    Read the review,,Nintendo,HAL Laboratory,7.0,8.1,10.0,3.98m,N/A,N/A,N/A,N/A,16th Mar 18,14th Mar 18
82,,Donkey Kong Land,,Nintendo,Rare Ltd.,N/A,N/A,N/A,3.91m,N/A,N/A,N/A,N/A,26th Jul 95,N/A
83,,Super Mario Maker,,Nintendo,Nintendo,N/A,7.3,N/A,3.79m,N/A,N/A,N/A,N/A,02nd Dec 16,29th Mar 18
84,,Ratchet & Clank: Size Matters,,Sony Computer Entertainment,High Impact Games,N/A,8.5,N/A,N/A,3.75m,1.40m,0.10m,0.86m,13th Feb 07,N/A
85,,Ratchet & Clank,,Sony Computer Entertainment,Insomniac Games,N/A,N/A,N/A,3.71m,N/A,N/A,N/A,N/A,07th Nov 02,N/A
86,,Banjo-Kazooie,,Nintendo,Rare Ltd.,N/A,9.3,9.4,3.65m,N/A,N/A,N/A,N/A,31st May 98,N/A
87,,Jak and Daxter: The Precursor Legacy,,Sony Computer Entertainment,Naughty Dog,N/A,9.0,8.9,N/A,3.64m,1.09m,0.15m,0.33m,04th Dec 01,N/A
88,,BattleBlock Theater,,The Behemoth,The Behemoth,N/A,N/A,N/A,3.61m,N/A,N/A,N/A,N/A,15th May 14,18th Nov 18
89,,Donkey Kong Country 3: Dixie Kong's Double Trouble!,,Nintendo,Rare Ltd.,N/A,8.8,N/A,3.51m,N/A,N/A,N/A,N/A,22nd Nov 96,N/A
90,,Spyro 2: Ripto's Rage!,,Sony Computer Entertainment,Insomniac Games,N/A,8.7,N/A,3.45m,N/A,N/A,N/A,N/A,31st Oct 99,N/A
91,,LittleBigPlanet 2    Read the review,,Sony Computer Entertainment,Media Molecule,9.3,9.1,N/A,N/A,3.43m,1.07m,0.06m,0.47m,18th Jan 11,N/A
92,,Yoshi's Island DS,,Nintendo,Artoon,N/A,8.2,N/A,3.36m,N/A,N/A,N/A,N/A,13th Nov 06,N/A
93,,Spyro: Year of the Dragon,,Sony Computer Entertainment,Insomniac Games,N/A,9.1,N/A,3.28m,N/A,N/A,N/A,N/A,23rd Oct 00,N/A
94,,Ratchet & Clank: Up Your Arsenal,,Sony Computer Entertainment,Insomniac Games,N/A,9.1,N/A,3.22m,N/A,N/A,N/A,N/A,03rd Nov 04,N/A
95,,Sonic Heroes,,Sega,Sonic Team,N/A,6.6,N/A,3.16m,N/A,N/A,N/A,N/A,27th Jan 04,N/A
96,,Kid Icarus,,Nintendo,Nintendo,N/A,N/A,N/A,3.12m,N/A,N/A,N/A,N/A,01st Jul 87,10th May 22
97,,Donkey Kong,,Nintendo,Nintendo EAD,N/A,N/A,N/A,3.07m,N/A,N/A,N/A,N/A,01st Jun 94,N/A
98,,Kung Fu Panda,,Activision,Luxoflux,N/A,7.5,N/A,N/A,3.05m,0.84m,N/A,0.29m,03rd Jun 08,N/A
99,,Rayman,,Ubisoft,Ubisoft Montpellier,N/A,7.0,N/A,N/A,3.03m,1.33m,N/A,0.16m,01st Sep 95,N/A
100,,Yoshi's Crafted World    Read the review,,Nintendo,Good-Feel,8.0,7.8,N/A,3.01m,N/A,N/A,N/A,N/A,29th Mar 19,22nd Mar 19
101,,Croc: Legend of the Gobbos,,Fox Interactive,Argonaut Games,N/A,7.6,N/A,3.00m,N/A,N/A,N/A,N/A,29th Sep 97,N/A
102,,Little Nightmares,,Bandai Namco Entertainment,Tarsier Studios,N/A,N/A,N/A,3.00m,N/A,N/A,N/A,N/A,28th Apr 17,22nd Jan 21
103,,Risk of Rain,,Chucklefish,Hopoo Games,N/A,N/A,N/A,3.00m,N/A,N/A,N/A,N/A,08th Nov 13,10th Jan 21
104,,Shantae,,Capcom,WayForward,N/A,N/A,N/A,3.00m,N/A,N/A,N/A,N/A,02nd Jun 02,26th Jun 21
105,,Sonic and the Secret Rings,,Sega,Sonic Team,N/A,6.7,N/A,3.00m,N/A,N/A,N/A,N/A,20th Feb 07,N/A
106,,Sonic Frontiers,,Sega,Sonic Team,N/A,N/A,N/A,3.00m,N/A,N/A,N/A,N/A,08th Nov 22,13th Dec 22
107,,Sonic Rush,,Sega,Dimps Corporation,N/A,7.8,N/A,3.00m,N/A,N/A,N/A,N/A,15th Nov 05,N/A
108,,Kirby Super Star Ultra    Read the review,,Nintendo,HAL Laboratory,9.0,7.3,N/A,2.99m,N/A,N/A,N/A,N/A,22nd Sep 08,N/A
109,,Super Meat Boy,,Unknown,Team Meat,N/A,9.2,N/A,2.97m,N/A,N/A,N/A,N/A,30th Nov 10,N/A
110,,Ratchet & Clank: Going Commando,,Sony Computer Entertainment,Insomniac Games,N/A,8.7,N/A,2.97m,N/A,N/A,N/A,N/A,11th Nov 03,N/A
111,,Donkey Kong Country Returns 3D    Read the review,,Nintendo,Monster Games,8.8,8.6,N/A,2.93m,N/A,N/A,N/A,N/A,24th May 13,28th Sep 18
112,,Metroid Dread    Read the review,,Nintendo,Nintendo,9.0,N/A,N/A,2.90m,N/A,N/A,N/A,N/A,08th Oct 21,15th Jun 21
113,,Yoshi's Story,,Nintendo,Nintendo EAD,N/A,N/A,N/A,2.85m,N/A,N/A,N/A,N/A,01st Mar 98,N/A
114,,Yoshi's Island: Super Mario Advance 3,,Nintendo,Nintendo EAD,N/A,N/A,N/A,2.83m,N/A,N/A,N/A,N/A,24th Sep 02,N/A
115,,Finding Nemo,,THQ,Vicarious Visions,N/A,7.0,N/A,N/A,2.82m,1.05m,0.04m,0.14m,10th May 03,N/A
116,,Trine 2    Read the review,,Frozenbyte,Frozenbyte,8.7,N/A,N/A,2.79m,N/A,N/A,N/A,N/A,07th Dec 11,N/A
117,,A Bug's Life,,Sony Computer Entertainment,Traveller's Tales,N/A,3.6,N/A,N/A,2.79m,0.72m,N/A,0.11m,31st Oct 98,N/A
118,,Sonic the Hedgehog (2006),,Sega,Sonic Team,N/A,N/A,N/A,2.69m,N/A,N/A,N/A,N/A,14th Nov 06,14th Nov 20
119,,Kirby: Triple Deluxe,,Nintendo,HAL Laboratory,N/A,7.8,N/A,2.65m,N/A,N/A,N/A,N/A,02nd May 14,30th Jan 18
120,,Shovel Knight,,Yacht Club Games,Yacht Club Games,N/A,N/A,N/A,2.65m,N/A,N/A,N/A,N/A,26th Jun 14,28th Feb 20
121,,Shovel Knight,,Yacht Club Games,Yacht Club Games,N/A,N/A,N/A,2.65m,N/A,N/A,N/A,N/A,26th Jun 14,22nd Jan 21
122,,Super Mario Bros. 2 (FDS),,Nintendo,Nintendo EAD,N/A,N/A,N/A,2.65m,N/A,N/A,N/A,N/A,03rd Jun 86,N/A
123,,LittleBigPlanet,,Sony Computer Entertainment,SCEE Cambridge,N/A,8.8,N/A,N/A,2.61m,1.27m,0.01m,0.68m,17th Nov 09,03rd Dec 18
124,,Mirror's Edge,,Electronic Arts,EA DICE,N/A,N/A,N/A,2.54m,N/A,N/A,N/A,N/A,11th Nov 08,26th Jan 21
125,,Mirror's Edge,,Electronic Arts,EA DICE,N/A,N/A,N/A,2.50m,N/A,N/A,N/A,N/A,11th Nov 08,26th Jan 21
126,,Sonic Adventure,,Sega,Sonic Team,N/A,N/A,N/A,2.50m,N/A,N/A,N/A,N/A,09th Sep 99,14th Nov 20
127,,Dustforce DX,,Hitbox Team,Hitbox Team,N/A,N/A,N/A,2.49m,N/A,N/A,N/A,N/A,17th Jan 12,01st Feb 19
128,,Sonic Unleashed,,Sega,Sonic Team,N/A,N/A,N/A,2.45m,N/A,N/A,N/A,N/A,18th Nov 08,13th Nov 20
129,,Sonic Adventure,,Sega,Sonic Team,N/A,8.9,N/A,N/A,2.42m,0.61m,0.46m,0.08m,09th Sep 99,N/A
130,,Ratchet & Clank (2016),,Sony Interactive Entertainment,Insomniac Games,N/A,N/A,N/A,N/A,2.38m,0.97m,0.06m,0.39m,12th Apr 16,25th Apr 18
131,,Kirby's Dream Land 2,,Nintendo,HAL Laboratory,N/A,N/A,N/A,2.36m,N/A,N/A,N/A,N/A,01st May 95,N/A
132,,Donkey Kong Land 2,,Nintendo,Rare Ltd.,N/A,N/A,N/A,2.35m,N/A,N/A,N/A,N/A,01st Sep 96,N/A
133,,Daxter,,Sony Computer Entertainment,Ready at Dawn,N/A,8.6,N/A,2.30m,N/A,N/A,N/A,N/A,14th Mar 06,N/A
134,,Mario Bros.,,Nintendo,Nintendo R&D1,N/A,N/A,N/A,2.28m,N/A,N/A,N/A,N/A,01st Jun 86,N/A
